"date","commune","case_true","case_lowCI","case_med","case_uppCI","pop","inc_true","inc_lowCI","inc_med","inc_uppCI","hist_year","season","month_lab"
2023-04-01,"AMBOHIMIERA",NA,1147,1526,2034,17811,NA,64.4219292697336,85.6644624835766,114.175927766258,3,"2022/2023","Apr"
2023-04-01,"AMPASINAMBO",NA,236,333,471,3965,NA,59.6262764693592,84.0193935870655,118.691164786977,3,"2022/2023","Apr"
2023-04-01,"ANALAMPASINA",NA,388,525,709,7738,NA,50.1958087549807,67.7922661830433,91.6015198645129,3,"2022/2023","Apr"
2023-04-01,"ANDRORANGAVOLA",NA,718,938,1227,18409,NA,38.9823526279798,50.9609056070976,66.6783765586514,3,"2022/2023","Apr"
2023-04-01,"ANTARETRA",NA,1002,1311,1715,12475,NA,80.3140683963043,105.067773478779,137.463036071739,3,"2022/2023","Apr"
2023-04-01,"ANTSINDRA",NA,510,692,940,8094,NA,62.9921071959761,85.5053075242915,116.108510500679,3,"2022/2023","Apr"
2023-04-01,"FASINTSARA",NA,792,1024,1323,14820,NA,53.4660858263191,69.0775256351253,89.2590948341236,3,"2022/2023","Apr"
2023-04-01,"IFANADIANA",NA,767,1002,1311,21763,NA,35.2210583075065,46.0563423095451,60.2268514507788,3,"2022/2023","Apr"
2023-04-01,"KELILALINA",NA,910,1171,1508,15906,NA,57.1989439510237,73.6430012997497,94.815429899798,3,"2022/2023","Apr"
2023-04-01,"MAROHARATRA",NA,896,1180,1556,15111,NA,59.3108240108352,78.0685712755676,102.945126479682,3,"2022/2023","Apr"
2023-04-01,"MAROTOKO",NA,568,774,1057,8703,NA,65.283495295506,88.9627896888134,121.420321394664,3,"2022/2023","Apr"
2023-04-01,"RANOMAFANA",NA,377,517,709,16593,NA,22.7043118565257,31.1424200109298,42.7429958827837,3,"2022/2023","Apr"
2023-04-01,"TSARATANANA",NA,1885,2411,3085,31175,NA,60.4689198459884,77.3479244894435,98.9651893791667,3,"2022/2023","Apr"
2023-05-01,"AMBIABE",NA,455,624,854,12016,NA,37.8854913020297,51.890204890024,71.0842965902853,2,"2023/2024","May"
2023-05-01,"AMBOHIMANGA DU SUD",NA,624,803,1034,23370,NA,26.6931832371559,34.3640585474271,44.2595878826766,2,"2023/2024","May"
2023-05-01,"AMBOHIMIERA",NA,648,870,1171,17854,NA,36.2973344971656,48.7378525523964,65.5890280354461,2,"2023/2024","May"
2023-05-01,"AMPASINAMBO",NA,98,147,222,3974,NA,24.7259747000806,37.0805836508737,55.7465679192887,2,"2023/2024","May"
2023-05-01,"ANALAMPASINA",NA,239,329,451,7757,NA,30.8656158514185,42.3558982754223,58.1535922503628,2,"2023/2024","May"
2023-05-01,"ANDRORANGAVOLA",NA,487,646,857,18453,NA,26.3884332932346,34.9930919397823,46.4512550301657,2,"2023/2024","May"
2023-05-01,"ANTARETRA",NA,521,684,899,12505,NA,41.6502796236826,54.7156541295614,71.8924888447503,2,"2023/2024","May"
2023-05-01,"ANTSINDRA",NA,405,556,764,8114,NA,49.9245564193453,68.5317921179908,94.1011222849542,2,"2023/2024","May"
2023-05-01,"FASINTSARA",NA,526,680,880,14854,NA,35.3853699939194,45.7692158783867,59.2131295211903,2,"2023/2024","May"
2023-05-01,"IFANADIANA",NA,448,584,761,21815,NA,20.5242386145428,26.7496282805254,34.867184053015,2,"2023/2024","May"
2023-05-01,"KELILALINA",NA,410,528,679,15946,NA,25.7194505759919,33.1028046228936,42.607245606333,2,"2023/2024","May"
